pdb_file,hydrophobicity_contacts
relaxed_3ona_model_536_corrected_H_0001_3ona,16
relaxed_3ona_model_537_corrected_H_0001_3ona,23
relaxed_3ona_model_538_corrected_H_0001_3ona,29
relaxed_3ona_model_539_corrected_H_0001_3ona,18
relaxed_3ona_model_54_corrected_H_0001_3ona,12
relaxed_3ona_model_540_corrected_H_0001_3ona,22
relaxed_3ona_model_541_corrected_H_0001_3ona,23
relaxed_3ona_model_542_corrected_H_0001_3ona,29
relaxed_3ona_model_543_corrected_H_0001_3ona,23
relaxed_3ona_model_544_corrected_H_0001_3ona,29
relaxed_3ona_model_545_corrected_H_0001_3ona,19
